../sysdeps/unix/sysv/linux/sendfile64.c,sendfile64,glibc-inline-syscall,inline-asm,40
../sysdeps/unix/sysv/linux/sendmmsg.c,__sendmmsg,glibc-wrapper,__syscall_cancel,307
../sysdeps/unix/sysv/linux/sendmsg.c,__libc_sendmsg,glibc-wrapper,__syscall_cancel,46
../sysdeps/unix/sysv/linux/sendto.c,__libc_sendto,glibc-wrapper,__syscall_cancel,44
../sysdeps/unix/sysv/linux/setegid.c,setegid,glibc-inline-syscall,inline-asm,119
../sysdeps/unix/sysv/linux/seteuid.c,seteuid,glibc-inline-syscall,inline-asm,117
../sysdeps/unix/sysv/linux/setgid.c,__setgid,glibc-inline-syscall,inline-asm,106
../sysdeps/unix/sysv/linux/setgroups.c,setgroups,glibc-inline-syscall,inline-asm,116
../sysdeps/unix/sysv/linux/sethostid.c,sethostid,glibc-wrapper,*__GI___close_nocancel,unknown
../sysdeps/unix/sysv/linux/sethostid.c,sethostid,glibc-wrapper,*__GI___open_nocancel,unknown
../sysdeps/unix/sysv/linux/sethostid.c,sethostid,glibc-wrapper,*__GI___write_nocancel,unknown
../sysdeps/unix/sysv/linux/sethostid.c,sethostid,glibc-wrapper,__close_nocancel,unknown
../sysdeps/unix/sysv/linux/sethostid.c,sethostid,glibc-wrapper,__open_nocancel,unknown
../sysdeps/unix/sysv/linux/sethostid.c,sethostid,glibc-wrapper,__write_nocancel,unknown
../sysdeps/unix/sysv/linux/setitimer.c,__setitimer,glibc-inline-syscall,inline-asm,38
../sysdeps/unix/sysv/linux/setregid.c,__setregid,glibc-inline-syscall,inline-asm,114
../sysdeps/unix/sysv/linux/setresgid.c,__setresgid,glibc-inline-syscall,inline-asm,119
../sysdeps/unix/sysv/linux/setresuid.c,__setresuid,glibc-inline-syscall,inline-asm,117
../sysdeps/unix/sysv/linux/setreuid.c,__setreuid,glibc-inline-syscall,inline-asm,113
../sysdeps/unix/sysv/linux/setrlimit64.c,__setrlimit64,glibc-inline-syscall,inline-asm,302
../sysdeps/unix/sysv/linux/setsockopt.c,setsockopt_syscall,glibc-inline-syscall,inline-asm,54
../sysdeps/unix/sysv/linux/settimezone.c,__settimezone,glibc-inline-syscall,inline-asm,164
../sysdeps/unix/sysv/linux/setuid.c,__setuid,glibc-inline-syscall,inline-asm,105
../sysdeps/unix/sysv/linux/setvmaname.c,__set_vma_name,glibc-inline-syscall,inline-asm,157
../sysdeps/unix/sysv/linux/shmat.c,shmat,glibc-inline-syscall,inline-asm,30
../sysdeps/unix/sysv/linux/shmctl.c,shmctl_syscall,glibc-inline-syscall,inline-asm,31
../sysdeps/unix/sysv/linux/shmdt.c,shmdt,glibc-inline-syscall,inline-asm,67
../sysdeps/unix/sysv/linux/shmget.c,shmget,glibc-inline-syscall,inline-asm,29
../sysdeps/unix/sysv/linux/signalfd.c,signalfd,glibc-inline-syscall,inline-asm,289
../sysdeps/unix/sysv/linux/sigpending.c,sigpending,glibc-inline-syscall,inline-asm,127
../sysdeps/unix/sysv/linux/sigqueue.c,__sigqueue,glibc-inline-syscall,inline-asm,129
../sysdeps/unix/sysv/linux/sigsuspend.c,__sigsuspend,glibc-wrapper,__syscall_cancel,130
../sysdeps/unix/sysv/linux/sigtimedwait.c,__sigtimedwait,glibc-wrapper,__syscall_cancel,128
../sysdeps/unix/sysv/linux/spawni.c,__spawni_child,glibc-inline-syscall,inline-asm,117
../sysdeps/unix/sysv/linux/spawni.c,__spawni_child,glibc-inline-syscall,inline-asm,119
../sysdeps/unix/sysv/linux/spawni.c,__spawni_child,glibc-inline-syscall,inline-asm,14
../sysdeps/unix/sysv/linux/spawni.c,__spawni_child,glibc-inline-syscall,inline-asm,436
../sysdeps/unix/sysv/linux/spawni.c,__spawni_child,glibc-wrapper,*__GI___close_nocancel,unknown
../sysdeps/unix/sysv/linux/spawni.c,__spawni_child,glibc-wrapper,*__GI___open_nocancel,unknown
../sysdeps/unix/sysv/linux/spawni.c,__spawni_child,glibc-wrapper,__close_nocancel,unknown
../sysdeps/unix/sysv/linux/spawni.c,__spawni_child,glibc-wrapper,__open_nocancel,unknown
../sysdeps/unix/sysv/linux/spawni.c,__spawnix,glibc-wrapper,*__GI___close_nocancel,unknown
../sysdeps/unix/sysv/linux/spawni.c,__spawnix,glibc-wrapper,__close_nocancel,unknown
../sysdeps/unix/sysv/linux/splice.c,splice,glibc-wrapper,__syscall_cancel,275
../sysdeps/unix/sysv/linux/statfs64.c,__statfs64,glibc-inline-syscall,inline-asm,137
../sysdeps/unix/sysv/linux/statx.c,statx,glibc-inline-syscall,inline-asm,332
../sysdeps/unix/sysv/linux/symlink.c,__symlink,glibc-inline-syscall,inline-asm,88
../sysdeps/unix/sysv/linux/sync_file_range.c,sync_file_range,glibc-wrapper,__syscall_cancel,277
../sysdeps/unix/sysv/linux/tcdrain.c,__libc_tcdrain,glibc-wrapper,__syscall_cancel,16
../sysdeps/unix/sysv/linux/tcgetattr.c,__tcgetattr,glibc-inline-syscall,inline-asm,16
../sysdeps/unix/sysv/linux/tcsetattr.c,__tcsetattr,glibc-inline-syscall,inline-asm,16
../sysdeps/unix/sysv/linux/tee.c,tee,glibc-wrapper,__syscall_cancel,276
../sysdeps/unix/sysv/linux/timer_create.c,___timer_create,glibc-inline-syscall,inline-asm,222
../sysdeps/unix/sysv/linux/timer_delete.c,___timer_delete,glibc-inline-syscall,inline-asm,226
../sysdeps/unix/sysv/linux/timer_getoverr.c,___timer_getoverrun,glibc-inline-syscall,inline-asm,225
../sysdeps/unix/sysv/linux/timer_gettime.c,___timer_gettime_new,glibc-inline-syscall,inline-asm,224
../sysdeps/unix/sysv/linux/timer_routines.c,timer_sigev_thread,glibc-inline-syscall,inline-asm,14
../sysdeps/unix/sysv/linux/timer_settime.c,___timer_settime_new,glibc-inline-syscall,inline-asm,223
../sysdeps/unix/sysv/linux/timerfd_gettime.c,__timerfd_gettime,glibc-inline-syscall,inline-asm,287
